Date,Close,Volume,Open,High,Low
11/11/2022,11817.01,--,11604.36,11840.07,11535.56
11/10/2022,11605.96,--,11350.42,11612.2,11235.74
11/9/2022,10797.55,--,10971.43,11012.66,10790.35
11/8/2022,11059.5,--,11039.58,11191.9,10897.53
11/7/2022,10977,--,10900.83,11001.16,10817.59
11/4/2022,10857.03,--,10911.98,10934.62,10632.39
11/3/2022,10690.6,--,10769.43,10852.18,10680.83
11/2/2022,10906.34,--,11300.27,11410.91,10903.48
11/1/2022,11288.95,--,11571.53,11574.39,11278.28
10/31/2022,11405.57,--,11465.21,11482.99,11331.26
10/28/2022,11546.21,--,11176.99,11563.16,11176.99
10/27/2022,11191.63,--,11387.71,11417.04,11179.9
10/26/2022,11405.9,--,11409.79,11657.06,11388.34
10/25/2022,11669.99,--,11482.87,11681.85,11480.41
10/24/2022,11430.26,--,11321.11,11468.18,11166.49
10/21/2022,11310.33,--,10998.17,11327.77,10962.01
10/20/2022,11046.71,--,11081.22,11279.81,11001.28
10/19/2022,11103.38,--,11081.82,11231.46,11008.11
10/18/2022,11147.74,--,11368.76,11374.38,11035.8
10/17/2022,11062.53,--,10967.25,11090.87,10959.74
10/14/2022,10692.06,--,11130.08,11152.89,10677.48
10/13/2022,11033.58,--,10481.58,11087.66,10440.64
10/12/2022,10785.62,--,10810.3,10886.49,10754.85
10/11/2022,10791.35,--,10865.32,10981.91,10716.33
10/10/2022,10926.97,--,11048.51,11063.21,10824.25
10/7/2022,11039.47,--,11272.46,11293.65,10991.66
10/6/2022,11485.5,--,11556.4,11660.55,11472.83
10/5/2022,11573.18,--,11429.47,11647.62,11312.52
10/4/2022,11582.54,--,11477.85,11609.25,11462.37
10/3/2022,11229.73,--,11059.17,11296.43,10985.01
9/30/2022,10971.22,--,11123.11,11296.16,10966.95
9/29/2022,11164.78,--,11334.57,11339.91,11038.94
9/28/2022,11493.83,--,11258.74,11546.87,11210.81
9/27/2022,11271.75,--,11411.34,11502.38,11175.29
9/26/2022,11254.11,--,11283.14,11473.36,11235.74
9/23/2022,11311.24,--,11398.75,11402.41,11169.66
9/22/2022,11501.65,--,11574.32,11617.99,11448.86
9/21/2022,11637.79,--,11892.72,12062.52,11636.25
9/20/2022,11851.54,--,11855.84,11951.13,11761.69
9/19/2022,11953.27,--,11753.6,11956.79,11752.43
9/16/2022,11861.38,--,11775.94,11875.09,11710.26
9/15/2022,11927.49,--,12034.43,12153.34,11867.88
9/14/2022,12134.4,--,12092.03,12170.25,12016.43
9/13/2022,12033.62,--,12364.83,12420.01,12004.42
9/12/2022,12739.72,--,12649.23,12752.83,12639.76
9/9/2022,12588.29,--,12424.15,12610.43,12424.15
9/8/2022,12321.19,--,12139.57,12374.13,12120.26
